Date,True,Deep LSTM with 50-50-50-50 neuron,LSTM with 50-50-50-50 neuron and recurrent dropout,Shallow LSTM 50-50 neurons,Shallow LSTM 50-10 neurons,Shallow LSTM 10-10 neurons,Shallow LSTM 10-10 neurons without callback opt,Shallow LSTM 5-5 neurons without callback opt
2019-04-17,49.74082565307617,48.07085,45.48442,47.7037,46.524796,45.53622,45.69731,37.272247
2019-04-18,49.919586181640625,48.444546,45.63329,47.85645,46.66344,45.669605,45.827133,37.306923
2019-04-22,50.08364486694336,48.996704,45.755478,48.026295,46.817394,45.804413,45.96975,37.341457
2019-04-23,50.806026458740234,49.47098,45.900482,48.20854,46.982685,45.94752,46.1215,37.379868
2019-04-24,50.727664947509766,49.956276,46.05961,48.42825,47.18093,46.114136,46.30184,37.420994
2019-04-25,50.26729965209961,50.248375,46.23052,48.651836,47.382393,46.283104,46.484596,37.466553
2019-04-26,50.02732467651367,50.135044,46.395924,48.838055,47.549942,46.430508,46.63725,37.509933
2019-04-29,50.10323715209961,49.74578,46.559288,48.97783,47.67574,46.553337,46.753426,37.548347
2019-04-30,49.1384391784668,49.39883,46.713036,49.08492,47.7723,46.657177,46.8443,37.580925
2019-05-01,51.5504264831543,48.90532,46.85145,49.109814,47.79646,46.709145,46.87123,37.607822
2019-05-02,51.21495056152344,49.325768,46.97109,49.221928,47.897182,46.810562,46.965733,37.62544
2019-05-03,51.851619720458984,50.100647,47.082287,49.356106,48.018505,46.913616,47.07741,37.651997
2019-05-06,51.0508918762207,50.923264,47.19375,49.534554,48.1785,47.040497,47.221455,37.678715
2019-05-07,49.67470932006836,51.14144,47.30256,49.682686,48.31134,47.14797,47.341053,37.70848
2019-05-08,49.68449783325195,50.41174,47.39752,49.727,48.351974,47.19668,47.37949,37.73199
2019-05-09,49.15068435668945,49.45355,47.48841,49.70882,48.336906,47.214375,47.369926,37.74513
2019-05-10,48.469783782958984,48.62205,47.560646,49.621082,48.26077,47.18795,47.307266,37.751415
2019-05-13,45.652740478515625,47.96089,47.61799,49.457973,48.11856,47.1121,47.185776,37.749264
2019-05-14,46.37543487548828,46.720505,47.639225,49.09763,47.801514,46.911198,46.908596,37.73283
2019-05-15,46.930973052978516,45.777824,47.613525,48.683495,47.434444,46.67203,46.586773,37.690166
2019-05-16,46.724491119384766,45.62181,47.54075,48.288334,47.083576,46.424404,46.278015,37.638565
2019-05-17,46.45901107788086,45.942257,47.409237,47.914097,46.750523,46.165337,45.98105,37.580406
2019-05-20,45.006248474121094,46.276863,47.23935,47.56138,46.435165,45.902946,45.695877,37.517307
2019-05-21,45.869056701660156,45.975903,47.03427,47.160416,46.07398,45.6014,45.36743,37.447437
2019-05-22,44.93004608154297,45.644707,46.79136,46.80541,45.751453,45.320957,45.07191,37.367905
2019-05-23,44.16310119628906,45.188103,46.529793,46.444046,45.421913,45.029343,44.768795,37.288994
2019-05-24,43.99348831176758,44.54713,46.257504,46.05862,45.06878,44.721653,44.443718,37.20368
